2	11/30/20	1
1	11/30/20	1
1	11/30/20	1
1	11/30/20	1
1	11/30/20	1
1	11/30/20	1
1	11/29/20	2
2	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
2	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/29/20	2
1	11/28/20	3
1	11/28/20	3
1	11/28/20	3
5	11/28/20	3
1	11/28/20	3
1	11/28/20	3
1	11/28/20	3
3	11/28/20	3
1	11/28/20	3
1	11/28/20	3
2	11/28/20	3
1	11/28/20	3
1	11/28/20	3
1	11/28/20	3
1	11/28/20	3
1	11/28/20	3
4	11/28/20	3
1	11/28/20	3
1	11/28/20	3
2	11/28/20	3
2	11/28/20	3
3	11/28/20	3
1	11/27/20	4
1	11/27/20	4
1	11/27/20	4
2	11/27/20	4
4	11/27/20	4
1	11/27/20	4
6	11/27/20	4
1	11/27/20	4
1	11/27/20	4
2	11/27/20	4
2	11/27/20	4
4	11/27/20	4
1	11/27/20	4
2	11/27/20	4
5	11/27/20	4
1	11/27/20	4
1	11/27/20	4
1	11/26/20	5
1	11/26/20	5
2	11/26/20	5
1	11/26/20	5
1	11/26/20	5
1	11/26/20	5
1	11/26/20	5
1	11/26/20	5
1	11/26/20	5
1	11/26/20	5
1	11/26/20	5
1	11/26/20	5
1	11/26/20	5
3	11/26/20	5
1	11/26/20	5
2	11/26/20	5
2	11/26/20	5
1	11/26/20	5
3	11/25/20	6
2	11/25/20	6
1	11/25/20	6
2	11/25/20	6
1	11/25/20	6
2	11/25/20	6
1	11/25/20	6
2	11/25/20	6
1	11/25/20	6
2	11/25/20	6
1	11/25/20	6
1	11/25/20	6
1	11/25/20	6
3	11/25/20	6
1	11/25/20	6
1	11/25/20	6
1	11/25/20	6
1	11/25/20	6
2	11/25/20	6
1	11/25/20	6
1	11/25/20	6
1	11/25/20	6
2	11/25/20	6
3	11/25/20	6
1	11/24/20	7
1	11/24/20	7
1	11/24/20	7
1	11/24/20	7
1	11/24/20	7
1	11/24/20	7
2	11/24/20	7
1	11/24/20	7
1	11/24/20	7
1	11/24/20	7
2	11/24/20	7
4	11/24/20	7
1	11/24/20	7
2	11/24/20	7
2	11/24/20	7
1	11/23/20	8
1	11/23/20	8
1	11/23/20	8
2	11/23/20	8
2	11/23/20	8
7	11/23/20	8
1	11/23/20	8
1	11/23/20	8
2	11/23/20	8
1	11/23/20	8
2	11/23/20	8
1	11/22/20	9
1	11/22/20	9
1	11/21/20	10
